,dataid,status,foundation_pier_beam,foundation_slab,spend_time_at_home_none,spend_time_at_home_monday,spend_time_at_home_tuesday,spend_time_at_home_wednesday,spend_time_at_home_thursday,spend_time_at_home_friday,ethnicity_asian_pacific_islander,ethnicity_black_african_american,ethnicity_caucasian_other_than_hispanic_or_latino,ethnicity_hispanic_or_latino,ethnicity_native_american_alaska_native,ethnicity_other,ethnicity_decline,residents_under_5,residents_6_to_12,residents_13_to_18,residents_19_to_24,residents_25_to_34,residents_35_to_49,residents_50_to_64,residents_65_and_older,education_level,total_annual_income,pv_system_own,pv_system_size,pv_system_reason,pv_system_satisfied,pv_system_features_liked,pv_system_surprising_features,pv_system_questions_asked,pv_neg_factors_too_expensive,pv_neg_factors_uncertainty,pv_neg_factors_ugly,pv_neg_factors_resale_value_concerns,pv_neg_factors_none,pv_neg_factors_other,pv_pos_factors_independence,pv_pos_factors_no_emissions,pv_pos_rate_increase_protection,pv_pos_factors_none,pv_pos_factors_other,additional_solar_future,additional_solar_size,retrofits,retrofits_weather,hvac_sealed_duct_leak,energy_efficient_windows,new_hvac,added_space,new_dishwasher,new_clotheswasher,new_clothesdryer,new_refrigerator,new_oven,other_changes,hvac_central_air_gas_furnace,hvac_central_air_electric_heating,heat_pump_split,hvac_geothermal_heat_pump,hvac_window_unit_ac,hvac_ductless_minisplit,hvac_no_ans,ac_compressor_num,temp_setting_weekday_workday_sumr,temp_setting_weekday_morning_sumr,temp_setting_weekday_evening_sumr,temp_setting_weekday_sleeping_hr_sumr,temp_setting_weekend_daylight_sumr,temp_setting_weekday_workday_wintr,temp_setting_weekday_morning_wintr,temp_setting_weekday_evening_wintr,temp_setting_sleeping_hr_wintr,temp_setting_weekend_daylight_wintr,thermostat_brand,thermostat_is_programmable,thermostat_programming_level,any_annual_ac_svc,electronic_device_cable_box_number,electronic_device_dvr_number,electronic_device_router_number,electronic_device_gaming_sys_number,electronic_device_other,water_heater_type,water_heater_type_other,any_electric_vehicle,electric_vehicle_year,electric_vehicle_make,electric_vehicle_model,vehicle_chargn_home,vehicle_chargn_level2ev,vehicle_chargn_public,vehicle_chargn_work,vehicle_chargn_work_avail,vehicle_chargn_time,electric_vehicle_satisfied,electric_vehicle_features_liked,electric_vehicle_buy_reason_envir,electric_vehicle_buy_reason_save_money,electric_vehicle_buy_reason_new_tech_interest,electric_vehicle_buy_reason_performance,electric_vehicle_buy_reason_quietness,electric_vehicle_buy_reason_other_recommended,electric_vehicle_buy_again,any_family_frnd_living,any_family_frnd_living_details,have_dishwasher,have_clotheswasher_front_load,have_clotheswasher_top_load,have_water_softner,have_icemaker,have_swimming_pool,have_hot_tub,have_outdoor_sprinkler,have_landscape_water_feature,have_automated_drip_irrigation,have_water_garden,have_other_water_using_appliance,water_activity_watering_plants,water_activity_wash_vehicle,water_activity_wash_house_exterior,water_activity_other,water_line_broke_by_u,water_line_broke_by_someone,water_line_broke_by_u2,water_line_broke_by_someone2,low_level_water_leak_discovered_by_u,low_level_water_leak_discovered_by_someone,continuous_water_flow_discovered_by_you,continuous_water_flow_discovered_by_someone,continuous_water_flow_discovered_by_u2,continuous_water_flow_discovered_by_someone2,water_leak_caused_financial_cost,collect_water_rain,collect_water_rain_way,collect_water_rain_way_other,any_water_utility_prog_particiaption_no,any_water_utility_prog_particiaption_yes_rebates,any_water_utility_prog_particiaption_yes_coupons,any_water_utility_prog_particiaption_yes_consults,any_water_utility_prog_particiaption_other,any_water_utility_prog_particiaption_other2,any_irrigation_audit,any_water_conserve_prog,any_water_conserve_prog_useful,energy_saving_led,energy_saving_attic_insulation,energy_saving_efficient_windows,energy_saving_efficient_furnace,energy_saving_efficient_ac,energy_saving_efficient_water_heater,energy_saving_efficient_thermostat,energy_saving_add_caulking,energy_saving_replace_showerhead,energy_saving_renewable_sys,energy_saving_other,energy_spending_general_approach1,energy_spending_general_approach2,energy_spending_general_approach3,energy_development_oil,energy_development_wind,energy_development_natural_gas,energy_development_natural_gas_shale,energy_development_nuclear,energy_development_coal,energy_development_solar,energy_development_hydropower,energy_development_bioenergy,can_reduce_energy_consumption,know_steps_reduce_energy_consumption,cannot_reduce_energy_consumption,individual_responsible_energy_reduce,energy_reduce_regulation,energy_reduce_risky,can_lower_energy_use,energy_reduce_other_ways
33,1035,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,1,,,,,2,,,College graduate,"$75,000 - $99,999",No,,,,,,,,Not sure how much I would benefit,,,,,Independence from the utility,,,,,No,,No,,,,,,,,,,,,,Central air system with electric heating,,,,,,1,78,78,78,78,78,72,72,72,72,72,Nest,No,Easy,No,None,None,1,None,Two computers are left plugged in and on or in sleep mode.,Electric - tank,,No,,,,,,,,I work from home,,,,,,,,,,No,No,,Dishwashing machine,Clothes washing machine that is front loading,,,,,,,,,,,Hand watering plants,,Pressure washing exterior structures or sidewalks,,,,,,,,,,,,,No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,,,,,Install a smart thermostat,,Replace showerhead with water-efficient model,,,Slightly disagree,Strongly agree,Strongly agree,Neither,Neither,Strongly oppose,Strongly oppose,Strongly oppose,Slightly oppose,Strongly support,Strongly support,Strongly support,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Strongly disagree,Strongly agree,
34,1042,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,,,,,,,2,,Postgraduate degree,"$150,000 - $299,000",Yes,can't recall,Sustainability,Somewhat satisfied,It works!,"The expense, even after rebates and write-offs",The people at Freedom Solar are extremely professional and experts in the field. I have confidence in the equipment they use. ,,,,,,,,,,,,No,,Yes,,,,,,Installed a new dishwasher,,,,,New microwave,Split system with gas furnace,,,,,,,1,78,78,76,70,74,74,74,74,68,73,can't recall,Yes,Easy,No,2,None,2,1,we have three landlines that are plugged in; my computer is always on,Gas - tank,,No,,,,,,,,No,,,,,,,,,,Yes,No,,Dishwashing machine,Clothes washing machine that is front loading,Clothes washing machine that is top loading,,Automatic ice maker (in your freezer),,,Outdoor sprinkler system,Landscape water feature with water pump,,,,Hand watering plants,,,,,Someone you know,,,,,,,,,Two neighbors had problems with their watering systems,No,,,No,,,,,,Yes,Yes,EcoRise Youth Innovations,Replace incandescent lighting with LED light bulbs,Install extra attic insulation,Install high-efficiency windows,Install high-efficiency furnace,Install high-efficiency air conditioner,,,Add caulking or weather stripping around your windows and/or doors,Replace showerhead with water-efficient model,Install a renewable energy system )e.g. PV solar cells and battery storage),,Slightly disagree,Strongly agree,Strongly agree,Strongly oppose,Strongly support,Slightly oppose,Slightly oppose,Slightly oppose,Strongly oppose,Strongly support,Slightly support,Strongly support,Slightly agree,Strongly agree,Slightly disagree,Slightly disagree,Slightly disagree,Strongly disagree,Slightly disagree,
35,1086,Complete,Pier and beam,,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,0,0,0,0,0,0,0,1,Postgraduate degree,"$50,000 - $74,999",No,,,,,,,,,,,,no interest from local providers,Independence from the utility,Emission-free electricity,Protection against future utility rate increases,,,No,,No,,,,,,,,,,,,Split system with gas furnace,,,,,,,1,78,76,76,74,78,68,67,69,62,68,Nest,Yes,Easy,Yes,1,1,1,None,,Gas - tank,,No,,,,,,,,I work from home,,,,,,,,,,No,No,,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,,,,,,,Hand watering plants,Hand washing vehicles,,,,,,,,,,,,,,No,,,,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,Install extra attic insulation,,Install high-efficiency furnace,Install high-efficiency air conditioner,,Install a smart thermostat,Add caulking or weather stripping around your windows and/or doors,Replace showerhead with water-efficient model,,,Slightly disagree,Slightly disagree,Slightly disagree,Slightly oppose,Strongly support,Neither,Strongly oppose,Neither,,Strongly support,Neither,Slightly support,Neither,Neither,Neither,Neither,Neither,Neither,Neither,I am interested in reducing my energy and water use and feel that I don't really understand what steps I can take and what the results will be.  The city's online pages fall short of the mark.  I ask for help but am met nothing useful.  Thank you
36,1103,Complete,,Slab,none,,,,,,,,Caucasian,,,,,0,0,0,0,0,0,1,0,Postgraduate degree,"$100,000 - $149,999",Yes,4800,"Availability of subsidies, doing the right thing",Very,Detailed online monitoring system.,,Payback period; billing model by city of Austin.,,,,,,,,,,,,No,,No,,,,,,,,,,,,Split system with gas furnace,,,,,,,1,82,78,78,80,78,65,70,70,69,70,Nest,Yes,Easy,No,None,2,2,None,Low end personal computer drawing appx. 30W,Gas - tank,,No,,,,,,,,Yes,,,,,,,,,,No,No,,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,,Outdoor sprinkler system,,,,,Hand watering plants,,,,,,,,,,You,,,,"Broken toilet flapper while I was out of town for two weeks, caused a 5x increase of water usage for that month.",No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,,,,,Install a smart thermostat,,,Install a renewable energy system )e.g. PV solar cells and battery storage),,Strongly agree,Slightly agree,Slightly agree,Slightly oppose,Strongly support,Neither,Neither,Neither,Slightly oppose,Strongly support,Strongly support,Strongly support,Slightly agree,Slightly agree,Neither,Slightly agree,Neither,Strongly disagree,Neither,
37,1104,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,1,,,,,2,,,Postgraduate degree,"$100,000 - $149,999",Yes,3.15,it was part of our custom green home,Somewhat satisfied,it produces clean energy,"nothing in particular, I wish we could have more.",Have the critter guard installed right from the beginning. We have had squirrels chew the wires two times in the past 8 years and finally had the critter guard instilled. ,,,,,,,,,,,,No,,No,,,,,,,,,,,,,,Heat Pump,,,,,1,78,78,78,77,78,69,69,69,68,70,"Daikin multi-split, three indoor units and one outdoor, each zone is operated differently, the above thermostat settings are not accurate for the whole house",No,Easy,No,None,None,2,None,"computer, modem, refrigerator, chest freezer",Other - Write In,solar w/ tankless backup,No,,,,,,,,I work from home,,,,,,,,,,Yes,Yes,we have a garage apartment that uses the same meter,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,,,Landscape water feature with water pump,,,manual drip irrigation,Hand watering plants,Hand washing vehicles,,kids swimming pool in the summer,,Someone you know,You,Someone you know,You,Someone you know,You,Someone you know,You,Someone you know,leaking plumbing fitting damaged our wood floors,Yes,Large cistern,,,Yes - rebates,,,,,No,No,none,Replace incandescent lighting with LED light bulbs,Install extra attic insulation,Install high-efficiency windows,,Install high-efficiency air conditioner,Install a high-efficiency tankless water heater,,,Replace showerhead with water-efficient model,Install a renewable energy system )e.g. PV solar cells and battery storage),we have a custom green home,Strongly agree,Strongly agree,Slightly disagree,Strongly oppose,Strongly support,Slightly oppose,Slightly oppose,Strongly oppose,Strongly oppose,Strongly support,Slightly support,Slightly support,Slightly disagree,Strongly agree,Slightly agree,Slightly agree,Neither,Strongly disagree,Strongly agree,We leased an electric car (2013 Nissan Leaf) for 3 years and it did not work for us due to insufficient range. The No. 1 deterrent for us to save more energy/water is the fixed fee structure in our utility bill... more conservation would be difficult to justify. We are at the point of extreme diminished returns for our conservation effort.
38,1146,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,,,,1,,1,,,College graduate,"$75,000 - $99,999",No,,,,,,,Too expensive,,,,,,Independence from the utility,Emission-free electricity,Protection against future utility rate increases,,,Yes,750,No,,,,,,,,,,,,Split system with gas furnace,,,,,,,1,76,76,76,76,76,68,69,68,68,68,Hunington,Yes,Easy,No,2,None,1,1,I leave on a tv for my dog when I leave my home. ,Gas - tank,,No,,,,,,,,No,,,,,,,,,,No,No,,Dishwashing machine,,Clothes washing machine that is top loading,,Automatic ice maker (in your freezer),,,,,,,,Hand watering plants,Hand washing vehicles,,,,,,,,,,,,,None,No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,Install extra attic insulation,,,,,,,,,,Slightly disagree,Strongly agree,Strongly agree,Slightly oppose,Strongly support,Strongly support,Neither,Slightly oppose,Strongly oppose,Strongly support,Strongly support,Strongly support,Slightly disagree,Slightly disagree,Strongly disagree,Strongly agree,Slightly disagree,Slightly disagree,Slightly agree,None
39,1169,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,Asian/Pacific Islander,,,,,,,,,,,,,,2,Postgraduate degree,"$50,000 - $74,999",Yes,3.885KW,Save money and help the environment.,Very,No maintenance ,They did not know how much unclean energy can be saved,Government incentive and saving,,,,,,,,,,,,No,,No,,,,,,,,,,,,Split system with gas furnace,,,,,,,1,80,80,80,80,80,68,68,68,68,68,leaf,Yes,Moderately difficult,No,1,1,1,None,I use a timer to turn a 60 w lamp at night always.,Gas - tank,,Yes,2013,Chevy,Volt,0%,100%,0%,0%,I work from home,I manually delay the time I start charging my vehicle,Very satisfied,"Power, speed, performance",Environmental benefit,Saving money on gasoline,Interest in new technologies,,Quietness,,No,No,,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,,,,Automated drip irrigation,,vegetable garden,Hand watering plants,,,,,,You,,,,,,,,A handy man installed a line which leak after a few weeks of installation.  This happened two years ago.  The problem was fixed.,Yes,Rain barrel,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,,,,,Install a smart thermostat,,,,,Strongly agree,Slightly agree,Slightly agree,Strongly support,Strongly support,,,,,Strongly support,,,Slightly agree,Slightly agree,Slightly disagree,Strongly agree,Strongly disagree,Neither,Slightly agree,none
40,1185,Complete,,Slab,,,,Wednesday,,,,,Caucasian,,,,,2,0,0,0,0,2,0,0,Postgraduate degree,"$150,000 - $299,000",Yes,8,Economics and the idea I was helping the environment,Somewhat satisfied,The power,That it breaks!,Size and cost (rebates and payoff time),,,,,,,,,,,,No,,Yes,"Weatherized home: improved/added exterior or attic insulation, installed weather-stripping on doors, added storm doors, etc.",,,Installed new HVAC system,Garage apartment. Added 600 sqft,Installed a new dishwasher,Installed a new clothes-washer,Installed a new clothes-dryer,Installed a new refrigerator,Installed a new  range/oven,,Split system with gas furnace,,Heat Pump,,,Mini-split system,,2,81,78,77,77,78,70,72,71,69,70,Nest,Yes,Moderately difficult,No,2,1,3,None,Misc electronics,Gas - tank,,Yes,2012,Chevy,Volt,0%,100%,0%,0%,I work from home,When I arrive home,Somewhat satisfied,"Power, speed, performance",Environmental benefit,Saving money on gasoline,Interest in new technologies,,,,No,Yes,Garage apartment occupied by my mother 2 weekends a month on average,Dishwashing machine,,Clothes washing machine that is top loading,,Automatic ice maker (in your freezer),,,Outdoor sprinkler system,,,,,Hand watering plants,,Pressure washing exterior structures or sidewalks,,,,,Someone you know,,,You,,,,Leak at meter at my sister's house,Yes,Rain barrel,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,,,,,Install a smart thermostat,,,,,Slightly disagree,Slightly disagree,Neither,Slightly support,Strongly support,Strongly support,Slightly support,Strongly support,Slightly oppose,Strongly support,Strongly support,Slightly support,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly disagree,Slightly disagree,Slightly disagree,
41,1283,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,,,,,Decline to Respond,0,3,0,0,0,2,0,0,Postgraduate degree,"$150,000 - $299,000",Yes,13,Decrease personal impact on global warming. Financially feasible,Somewhat satisfied,"Being able to see moment to moment usage on monitoring, and seeing low energy bills.",Periodic outage of inverter,Savings Cost- benefit analysis ,,,,,,,,,,,,No,,No,,,,,,,,,,,,Split system with gas furnace,,,,,,,1,,,,,78,69,69,66,65,70,Honeywell,Yes,Very difficult,No,1,1,1,None,Lights ,Gas - tankless,,No,,,,,,,,No,,,,,,,,,,Yes,No,,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,,Outdoor sprinkler system,,,,,Hand watering plants,Hand washing vehicles,,,You,,,Someone you know,,Someone you know,You,,You,Someone you know,Outside water line burst--- required calling city of austin and then putting a pressure regulator,No,,,No,,,,,,No,No,Don't know of any specific ones,Replace incandescent lighting with LED light bulbs,,,,,,,,,Install a renewable energy system )e.g. PV solar cells and battery storage),,Slightly disagree,Strongly agree,Strongly agree,Strongly oppose,Strongly support,Slightly support,Strongly oppose,Slightly support,Strongly oppose,Strongly support,Strongly support,Neither,Neither,Slightly agree,Neither,Neither,Strongly disagree,Strongly disagree,Strongly agree,Xeriscaping
42,1463,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,0,0,0,0,0,1,0,0,College graduate,"$100,000 - $149,999",No,,,,,,,,,,,,"Felt technology was too new and expect solar functionality to be incorporated into regular roof shingles. Which they are now., but now I\'m just waiting for the price to come down.",Independence from the utility,,Protection against future utility rate increases,,,Yes,I dunno,No,,,,,,,,,,,,Split system with gas furnace,,,,,,,1,75,75,75,75,75,66,66,66,66,66,Whatever you guys installed last time. I don't see a name on it.,No,Very difficult,Yes,None,None,1,None,"Apple TV, Roku, Sonos system (5 speakers), iMac - they're always plugged in, but in 'sleep' mode",Electric - tankless,,No,,,,,,,,Yes,,,,,,,,,,No,No,,Dishwashing machine,,Clothes washing machine that is top loading,,Automatic ice maker (in your freezer),,,,,,,,,,,"hand wash some dishes, bathe",,,,,,,,Someone you know,,,"Next door neighbor had a leak under her kitchen sink. I can't remember how long it went on before she found it, but there was damage to her cabinets",No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,,,,,,,,,9 yr old house came with all of the high-efficiency items you list,Slightly disagree,Slightly agree,Neither,Slightly oppose,Strongly support,Slightly oppose,Strongly oppose,Slightly oppose,Strongly oppose,Strongly support,Slightly support,Neither,Slightly disagree,Strongly disagree,Slightly agree,Neither,Strongly disagree,Slightly disagree,Slightly agree,
43,1499,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,0,0,0,0,0,0,2,0,Postgraduate degree,"$150,000 - $299,000",Yes,32,Energy conservation ,Very,Easy maintenance ,Nothing,How much it saves on the bill,,,,,,,,,,,,Yes,Don't know,No,,,,,,,,,,,,,Central air system with electric heating,,,,,,1,74,,69,69,74,74,74,70,70,74,Don't know,Yes,Moderately difficult,No,5 or more,4,1,None,Coffee maker,Gas - tankless,,No,,,,,,,,No,,,,,,,,,,No,No,,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,,Outdoor sprinkler system,,,,,Hand watering plants,,,,,Someone you know,,,,,,,,,,No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,Install high-efficiency windows,,,Install a high-efficiency tankless water heater,,Add caulking or weather stripping around your windows and/or doors,,Install a renewable energy system )e.g. PV solar cells and battery storage),,Strongly agree,Strongly agree,Strongly agree,Neither,Strongly oppose,Strongly oppose,Neither,Slightly oppose,Slightly oppose,Strongly support,Strongly support,Strongly support,Slightly agree,Neither,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,
44,1600,Complete,Pier and beam,,,Monday,,,Thursday,,,,Caucasian,,,,,1,,,,,2,,,Postgraduate degree,,No,,,,,,,Too expensive,,,,,,,,Protection against future utility rate increases,,environmental benefits of solar,No,,Yes,"Weatherized home: improved/added exterior or attic insulation, installed weather-stripping on doors, added storm doors, etc.",Sealed duct leaks on HVAC system,Installed more energy efficient windows,Installed new HVAC system,,Installed a new dishwasher,Installed a new clothes-washer,Installed a new clothes-dryer,Installed a new refrigerator,Installed a new  range/oven,new water heater,Split system with gas furnace,,,,,,,1,80,77,77,74,77,65,73,73,71,70,,Yes,Easy,No,None,None,1,None,cell phone charger is left plugged in--possibly using power even though not charging anything,Gas - tank,,No,,,,,,,,No,,,,,,,,,,No,No,,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,,,,,,,Hand watering plants,,,play in the sprinkler,,,,,,,You,,,,I left the outdoor hose running on full overnight because I forgot to turn it off.,No,,,,Yes - rebates,,,,,No,No,,Replace incandescent lighting with LED light bulbs,Install extra attic insulation,Install high-efficiency windows,Install high-efficiency furnace,,,,Add caulking or weather stripping around your windows and/or doors,Replace showerhead with water-efficient model,,,Slightly disagree,Slightly agree,Slightly agree,Slightly oppose,Strongly support,Slightly support,Neither,Slightly oppose,Strongly oppose,Strongly support,Slightly support,Strongly support,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Strongly disagree,Slightly disagree,"I think the #1 way for Texans to reduce energy is to get comfortable with higher temperatures in their home, and maybe use ceiling fans.  But most people are unwilling to do it--especially businesses.  Almost everyone I know says their office is an ice box--especially during summer months!"
45,1632,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,,,,,,,0,0,Postgraduate degree,"$50,000 - $74,999",No,,,,,,,,,,,,house is 17 years old. We might decide to go solar when we need a new roof.,Independence from the utility,Emission-free electricity,,,,No,,No,,,,,,,,,,,,Split system with gas furnace,,,,,,,2,,81,80,79,81,70,70,70,68,70,thane,Yes,Moderately difficult,Yes,1,1,1,None,One living room light is lit in the evening,Gas - tank,,No,,,,,,,,,,,,,,,,,,No,No,,Dishwashing machine,Clothes washing machine that is front loading,,,,,,Outdoor sprinkler system,Landscape water feature with water pump,Automated drip irrigation,Water garden or pond,,Hand watering plants,Hand washing vehicles,,,,,,,,,,,,,Occasionally a sprinkler breaks.,Yes,Large cistern,,,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,Install high-efficiency windows,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Slightly oppose,Strongly support,Strongly support,Strongly oppose,Neither,Strongly oppose,Strongly support,Neither,Neither,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Strongly agree,My partner does not feel as strongly as do I about conservation of energy. That promotes an ongoing need for negotiation on the setting of thermostats in both summer and winter.
46,1642,Complete,,Slab,none,,,,,,,,,,,,Decline to Respond,,,,,1,2,,,College graduate,,Yes,6.3,"ecology, incentives, long term value",Very,don't have to think about it or do much for maintenance.,"after installation there isn't anything to do, and that it actually protects the roof underneath","I share any and all details, don't have any questions myself",,,,,,,,,,,,Yes,6.3,No,,,,,,,,,,,,Split system with gas furnace,,Heat Pump,,,,I don't know,1,77,74,74,74,74,66,70,70,68,72,Honeywell,Yes,Moderately difficult,No,None,1,1,None,"PCs when working, ",Gas - tankless,,Yes,2012,Chevy,Volt,0%,95%,5%,0%,No,When I arrive home,Very satisfied,Not buying gasoline,Environmental benefit,Saving money on gasoline,Interest in new technologies,Acceleration and performance of EVâ€™s,Quietness,,Yes,Yes,Parents come periodically,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,,,,,,jetted tub in bathroom,Hand watering plants,,,"hand watering plants is minimal, usually not with hose",,Someone you know,You,Someone you know,,,,,,,toilet flappers staying stuck,No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,,,,Install a high-efficiency tankless water heater,,,Replace showerhead with water-efficient model,Install a renewable energy system )e.g. PV solar cells and battery storage),,Slightly agree,Slightly agree,Neither,Neither,Strongly support,Slightly support,Slightly support,Strongly support,Slightly oppose,Strongly support,Strongly support,Slightly oppose,Neither,Slightly agree,Neither,Neither,Slightly disagree,Strongly disagree,Slightly agree,
47,1697,Complete,Pier and beam,,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,2,0,0,0,0,1,1,0,College graduate,"$300,000 - $1,000,000",Yes,5gw,green,Somewhat dissatisfied,easy to use,affordable,who installed,,,,,,,,,,,,No,,No,,,,,,,,,,,,Split system with gas furnace,,,,,,,1,73,73,73,73,73,68,68,67,67,68,nest,Yes,Easy,No,4,1,2,None,,Gas - tank,,No,,,,,,,,No,,,,,,,,,,Yes,No,,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,,,,,,,Hand watering plants,,,,You,Someone you know,,,,,,Someone you know,,Someone you know,"water main to house cracked twice, once on city side, then once on residence side",No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,,,,,Install a smart thermostat,,,,,Strongly agree,Slightly agree,Strongly agree,Slightly oppose,Strongly support,Slightly support,Strongly oppose,Strongly support,Slightly oppose,Strongly support,Strongly support,Strongly support,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly disagree,Strongly disagree,Slightly agree,
48,1700,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,,1,1,,,2,,,College graduate,"$150,000 - $299,000",No,,,,,,,Too expensive,,,,,,Independence from the utility,Emission-free electricity,Protection against future utility rate increases,,,No,,Yes,,,,Installed new HVAC system,,,,,,,,,Central air system with electric heating,Heat Pump,,,,,2,76,77,77,76,83,69,70,68,68,68,"Honeywell, Salus, Zen",Yes,Easy,No,None,None,2,None,,Electric - tank,,No,,,,,,,,No,,,,,,,,,,No,No,,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,,Outdoor sprinkler system,,,,,,,,None,,Someone you know,,Someone you know,,Someone you know,You,,,,Neighborhood area water main leak was followed by a 20x spike in neighborhood water bills issued by WTCPUA despite protests by residents.,No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,,,Install high-efficiency air conditioner,,Install a smart thermostat,,Replace showerhead with water-efficient model,,Install Pecan Street monitoring,Strongly agree,Strongly agree,Strongly agree,Strongly oppose,Strongly support,Slightly oppose,Slightly oppose,Slightly oppose,Strongly oppose,Strongly support,Slightly support,Slightly support,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Strongly disagree,Slightly agree,
49,1714,Complete,Pier and beam,,,Monday,,Wednesday,,,,,Caucasian,,,,,1,0,0,0,0,0,0,1,Postgraduate degree,"$100,000 - $149,999",Yes,6,,Very,,,,,,,,,,,,,,,No,,Yes,"Weatherized home: improved/added exterior or attic insulation, installed weather-stripping on doors, added storm doors, etc.",,,,,,,,,,,Split system with gas furnace,,,,,,,1,73,,74,74,74,74,74,74,74,74,Nest,Yes,Easy,Yes,2,None,1,None,,Gas - tank,,Yes,2016,Tesla,S ,90%,90%,10%,0%,No,When I arrive home,Very satisfied,"Power, speed, performance",Environmental benefit,,Interest in new technologies,,Quietness,,No,No,,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,,,,,,,Hand watering plants,,,,,,,,,,,,,,,No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,Install extra attic insulation,Install high-efficiency windows,,,,Install a smart thermostat,,,Install a renewable energy system )e.g. PV solar cells and battery storage),,Slightly disagree,Slightly agree,Slightly agree,Strongly oppose,Strongly support,Neither,Neither,Strongly oppose,Strongly oppose,Strongly support,Strongly support,Strongly support,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,
